epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,6952.47,0.81843,0.45165,0.8641,0.83775,0.66492,0.73066,0.43508,1.19988,0.62653,0.96885,0.004753,0.004753,0.004753
108,7018.72,0.81726,0.44957,0.86417,0.82935,0.66858,0.72968,0.43438,1.19976,0.62713,0.96879,0.0047035,0.0047035,0.0047035
109,7084.83,0.81768,0.45054,0.86428,0.82997,0.66698,0.72926,0.43451,1.19972,0.62751,0.96884,0.004654,0.004654,0.004654
110,7150.84,0.81396,0.44953,0.86416,0.82857,0.6664,0.72852,0.43433,1.19975,0.62761,0.96875,0.0046045,0.0046045,0.0046045
111,7217.62,0.8127,0.44821,0.86356,0.8282,0.66755,0.7284,0.43411,1.19973,0.62776,0.96876,0.004555,0.004555,0.004555
112,7283.87,0.81061,0.44774,0.86307,0.82212,0.67183,0.72808,0.43448,1.20022,0.62857,0.96906,0.0045055,0.0045055,0.0045055
113,7349.52,0.81144,0.44796,0.86316,0.82537,0.67204,0.72848,0.43434,1.20034,0.62895,0.9692,0.004456,0.004456,0.004456
114,7415.61,0.80844,0.44458,0.86155,0.81806,0.67556,0.72904,0.43464,1.20039,0.62899,0.96932,0.0044065,0.0044065,0.0044065
115,7481.78,0.80722,0.44647,0.86187,0.82215,0.67258,0.7288,0.43454,1.20058,0.62898,0.96937,0.004357,0.004357,0.004357
116,7547.99,0.80548,0.44438,0.86154,0.82175,0.67304,0.72957,0.43454,1.20051,0.62901,0.96923,0.0043075,0.0043075,0.0043075
117,7614.08,0.80179,0.44228,0.86105,0.82371,0.67322,0.72972,0.43475,1.20054,0.62894,0.96931,0.004258,0.004258,0.004258
118,7680.42,0.80155,0.44308,0.86061,0.80759,0.68238,0.72954,0.43491,1.20056,0.62925,0.96938,0.0042085,0.0042085,0.0042085
119,7747.08,0.79734,0.44173,0.86097,0.81469,0.6757,0.72855,0.43447,1.20047,0.62949,0.9693,0.004159,0.004159,0.004159
120,7811.99,0.79868,0.44093,0.86087,0.81821,0.67626,0.72941,0.43451,1.20038,0.62955,0.96935,0.0041095,0.0041095,0.0041095
121,7876.8,0.79674,0.44045,0.86048,0.81724,0.67627,0.7294,0.4345,1.20062,0.62938,0.96949,0.00406,0.00406,0.00406
